UID,tax_identification_number,legal_form_code,industry,entity_size_code,legal_name,location,location_code,incorporation_date,listed_entity_flag,last_updated,compliance
GR0000000029,853041955,AE,Automotive,S,Polis Koinonia Chronos AE,Kozani,N0330,2011-01-19,False,2024-07-01 10:44:43,Compliant
GR0000000030,685126461,IKE,Energy,M,Pathos Hellenic IKE,Florina,N0340,1996-05-05,False,2024-02-19 13:26:57,Compliant
GR0000000031,550455977,AE,Tourism and Hospitality,M,Olympian Nomos Psyche AE,Lakonia,N1040,2019-11-18,False,2024-09-14 09:32:51,Compliant
GR0000000032,336696312,AT,Automotive,L,Systems Speed Kosmos,Magnisia,N0530,2000-03-01,False,2024-03-17 08:37:50,Compliant
GR0000000033,582334538,IKE,Financial Services,S,Hestia Fiscal IKE,Pieria,N0250,2001-05-21,False,2024-07-14 15:37:55,Compliant
GR0000000034,732719211,IKE,Energy,S,Arete Psyche Olympian IKE,Rodopi,N0150,2008-01-12,False,2024-01-20 12:10:09,Compliant
GR0000000035,398704996,AT,Logistics and Transportation,L,Track Kalon,Thessaloniki,N0220,2014-10-02,True,2024-12-15 15:05:56,Compliant
GR0000000036,969119330,AT,Financial Services,M,Theoria Consultants Olympic,Chios,N1130,2003-09-20,False,2024-11-16 09:45:14,Compliant
GR0000000037,106977991,AT,Automotive,M,Dynamis Gaia,Rodopi,N0150,2023-04-26,False,2024-04-20 10:49:45,Compliant
GR0000000038,914763202,AT,Consumer Goods and Retail,M,Store Techne Arete,Evia,N0820,2021-04-08,False,2024-03-23 16:33:46,Compliant
GR0000000039,965241839,OE,Healthcare,M,Medicine Logos OE,Argolida,N1010,2011-02-21,False,2024-11-07 16:59:49,Somewhat Compliant
GR0000000040,271432881,OE,Agriculture and Food Production,M,Fruits Livestock Plantation OE,Rethymno,N1330,1996-12-19,False,2024-06-23 15:50:08,Compliant
GR0000000041,849621470,OE,Logistics and Transportation,M,Mediterranean Way OE,Thesprotia,N0420,1996-04-30,False,2024-06-22 12:23:39,Compliant
GR0000000042,553778756,EPE,Automotive,M,Ecclesia Mythos EPE,Magnisia,N0530,2003-12-06,False,2024-08-08 08:57:45,Compliant
GR0000000043,465341213,AT,Financial Services,S,Planners Paideia,Larisa,N0520,2003-11-15,False,2024-12-15 14:15:13,Compliant
GR0000000044,398362082,OE,Technology and Innovation,S,Hestia Logos OE,Peiraias and islands,N0920,2007-09-28,False,2024-11-08 17:04:09,Compliant
GR0000000045,266944844,AT,Agriculture and Food Production,S,Field Seeds,Euritania,N0830,2002-10-23,False,2024-10-17 15:06:51,Compliant
GR0000000046,331191390,AT,Consumer Goods and Retail,L,Dynamis Consumer,Magnisia,N0530,2004-10-26,False,2024-01-08 10:49:55,Somewhat Compliant
GR0000000047,919795579,AT,Automotive,M,Sophia Parts Philia,Fthiotida,N0840,2006-10-01,False,2024-06-07 16:55:51,Compliant
GR0000000048,461415646,AT,Consumer Goods and Retail,M,Energeia Mart Harmonia,Heraklio,N1310,2002-10-25,False,2024-02-14 15:06:29,Compliant
GR0000000049,209747451,AT,Energy,M,Arete Eudaimonia,Kastoria,N0320,2010-03-29,False,2024-06-09 10:59:18,Compliant
GR0000000050,199585092,AT,Manufacturing,L,Kairos Hestia,Peiraias and islands,N0920,2019-11-15,False,2024-03-23 09:17:36,Compliant
GR0000000051,507943839,AT,Financial Services,L,Koinonia Management Kairos,Athens,N0910,2006-01-11,False,2024-07-05 13:05:04,Compliant
GR0000000052,203848421,IKE,Automotive,M,Velocity Mechanical Drive IKE,Fthiotida,N0840,2003-01-03,False,2024-04-01 15:16:30,Compliant
GR0000000053,485451171,EPE,Agriculture and Food Production,M,Crop Aion Physis EPE,Zakynthos,N0610,2003-10-16,False,2024-05-11 15:41:59,Compliant
GR0000000054,469319644,AT,Healthcare,M,Basileus Apollo,Zakynthos,N0610,1995-12-18,True,2024-03-12 09:36:31,Compliant
GR0000000055,748245888,EPE,Financial Services,S,Hellenic Treasury Strategy EPE,Kozani,N0330,2002-11-23,False,2024-01-21 13:54:18,Somewhat Compliant
GR0000000056,384027113,AT,Logistics and Transportation,M,Basileus Fleet Koinonia,Korinthos,N1030,2006-09-28,False,2024-07-24 14:54:39,Non-Compliant
GR0000000057,966647391,AT,Manufacturing,S,Craftsmanship Oikos,Mesinia,N1050,1999-07-15,False,2024-12-14 10:28:23,Compliant
GR0000000058,146654552,AT,Automotive,S,Vehicle Episteme Hellenic,Athens,N0910,1995-12-09,False,2024-09-19 17:20:23,Compliant
GR0000000059,883543540,AT,Healthcare,M,Agon Chronos Research,West Attica,N0940,2001-02-25,False,2024-02-12 14:32:28,Somewhat Compliant
GR0000000060,593303705,AE,Agriculture and Food Production,M,Mediterranean Physis Livestock AE,Imathia,N0210,2011-12-30,False,2024-05-14 08:39:41,Compliant
GR0000000061,675770529,EPE,Automotive,M,Pathos Olympian EPE,Karditsa,N0510,2024-05-16,True,2024-01-30 11:44:52,Compliant
GR0000000062,234031070,AT,Technology and Innovation,M,Doric Ionic Cloud,Euritania,N0830,1999-12-23,False,2024-10-14 08:09:54,Compliant
GR0000000063,506448196,IKE,Healthcare,S,Philia Life Episteme IKE,Euritania,N0830,2010-03-06,False,2024-02-23 12:24:10,Compliant
GR0000000064,184611066,EPE,Energy,M,Aegean Solar EPE,Florina,N0340,2004-06-05,False,2024-10-18 14:54:04,Somewhat Compliant
GR0000000065,692749116,AE,Healthcare,S,Medicine Healing Harmonia AE,Karditsa,N0510,2008-09-06,False,2024-04-24 14:55:29,Compliant
GR0000000066,414797776,IKE,Tourism and Hospitality,L,Delphi Recreation Explorer IKE,Evia,N0820,2015-06-18,True,2024-12-08 09:22:29,Somewhat Compliant
GR0000000067,990566476,OE,Consumer Goods and Retail,S,Delphi Trade Warehouse OE,Grevena,N0310,2005-10-08,True,2024-08-27 16:57:52,Compliant
GR0000000068,774996843,IKE,Automotive,S,Eudaimonia Aegean Hephaestus IKE,Kyklades,N1210,2011-07-31,False,2024-08-26 09:05:11,Non-Compliant
GR0000000069,764130526,IKE,Automotive,S,Zoe Kalon Motor IKE,Kastoria,N0320,2011-09-13,False,2024-02-25 14:49:27,Compliant
GR0000000070,488302652,EPE,Tourism and Hospitality,S,Journey Entertainment EPE,Athens,N0910,2024-08-23,False,2024-04-12 14:21:04,Compliant
GR0000000071,719927151,EPE,Energy,S,Energy Zoe Chronos EPE,Pella,N0240,2002-09-07,False,2024-06-11 13:38:31,Compliant
GR0000000072,306468299,AE,Agriculture and Food Production,L,Onoma Oikos AE,West Attica,N0940,2018-08-20,False,2024-04-18 15:07:17,Compliant
GR0000000073,856528252,IKE,Technology and Innovation,S,Zoe Informatics IKE,Chania,N1340,2022-12-14,False,2024-08-20 08:34:09,Compliant
GR0000000074,174684276,AE,Energy,S,Hellenic Gaia Hestia AE,Peiraias and islands,N0920,2014-06-15,False,2024-08-28 10:40:13,Compliant
GR0000000075,149203558,AE,Automotive,M,Polis Agon AE,Pieria,N0250,1997-12-06,False,2024-06-12 17:02:38,Compliant
GR0000000076,810026086,AT,Manufacturing,S,Theoria Chronos,Dodekanisa,N1220,2000-04-24,False,2024-07-13 08:59:51,Compliant
GR0000000077,344703907,AT,Financial Services,S,Consultant Invest Ethos,Zakynthos,N0610,2001-06-23,False,2024-07-04 14:30:13,Compliant
GR0000000078,930075810,OE,Consumer Goods and Retail,M,Kosmos Warehouse OE,Lakonia,N1040,2000-11-11,False,2024-01-28 11:55:01,Compliant
GR0000000079,410727955,OE,Manufacturing,S,Kalon Developers OE,Pella,N0240,2003-07-04,False,2024-12-16 14:17:16,Compliant
GR0000000080,185675980,EPE,Consumer Goods and Retail,M,Consumer Chronos EPE,Chios,N1130,2003-08-06,False,2024-11-21 10:05:09,Compliant
GR0000000081,349957310,OE,Automotive,M,Power Aion Archon OE,Trikala,N0540,2018-11-20,False,2024-02-05 12:25:05,Somewhat Compliant
GR0000000082,208449460,AE,Consumer Goods and Retail,S,Emporium Greek AE,Rodopi,N0150,2011-12-18,False,2024-06-01 15:55:26,Compliant
GR0000000083,508157429,AT,Consumer Goods and Retail,S,Products Seller Plaza,Florina,N0340,2011-10-14,False,2024-09-25 11:42:57,Somewhat Compliant
GR0000000084,398471886,AT,Financial Services,S,Dividend Banking,Viotia,N0810,2009-04-05,False,2024-05-12 10:53:03,Somewhat Compliant
GR0000000085,586845604,IKE,Manufacturing,M,Craftsmen Aion Techne IKE,Arkadia,N1020,2021-11-22,False,2024-02-17 14:21:48,Compliant
GR0000000086,782560971,AT,Financial Services,M,Consultant Asset Theoria,East Attica,N0930,2014-04-07,False,2024-06-01 10:12:22,Compliant
GR0000000087,995619255,AE,Healthcare,M,Experts Kairos AE,Magnisia,N0530,2023-07-14,False,2024-08-02 15:30:34,Non-Compliant
GR0000000088,491735568,AT,Healthcare,M,Ethos Specialists,Thessaloniki,N0220,2005-12-19,True,2024-12-18 10:44:27,Compliant
GR0000000089,274648506,AE,Healthcare,M,Chronos Oikos AE,Euritania,N0830,1997-01-25,False,2024-06-30 17:24:52,Compliant
GR0000000090,497478786,AE,Tourism and Hospitality,L,Energeia Psyche Kosmos AE,Chios,N1130,2022-08-19,False,2024-01-06 16:50:57,Compliant
GR0000000091,481469012,AT,Energy,M,Archon Physis,Kozani,N0330,2021-05-05,True,2024-11-01 11:04:46,Somewhat Compliant
GR0000000092,324956459,IKE,Technology and Innovation,S,Informatics Physis Sophia IKE,Kerkyra,N0620,2003-06-25,False,2024-12-07 17:39:09,Compliant
GR0000000093,819595113,IKE,Technology and Innovation,S,Agon Next IKE,Serres,N0260,2019-01-07,False,2024-06-14 13:00:09,Compliant
GR0000000094,386665249,AT,Logistics and Transportation,M,Olympian Athens Ethos,Aitoloakarnania,N0710,2008-03-11,False,2024-08-22 10:31:55,Compliant
GR0000000095,853573823,AT,Manufacturing,S,Craftsmen Oikos Onoma,Chalkidiki,N0270,2001-08-30,False,2024-06-11 09:50:43,Non-Compliant
GR0000000096,833953718,AT,Automotive,M,Performance Philia Techne,Evia,N0820,2009-09-11,False,2024-07-27 12:33:46,Compliant
GR0000000097,795822698,IKE,Energy,S,Electric Chronos Zoe IKE,Evia,N0820,2006-01-31,False,2024-01-02 15:53:54,Compliant
GR0000000098,176667861,EPE,Tourism and Hospitality,M,Relaxation Hellenic Aegean EPE,Xanthi,N0140,1997-05-21,False,2024-03-05 15:40:37,Compliant
GR0000000099,754049436,AE,Manufacturing,M,Pathos Aion Textile AE,Magnisia,N0530,2023-03-27,False,2024-02-19 08:13:47,Somewhat Compliant
GR0000000100,781802744,AT,Automotive,M,Motion Philia,Mesinia,N1050,2007-07-24,False,2024-04-06 14:44:34,Compliant
GR0000000101,283758720,AT,Energy,L,Olympian Hellenic,Evros,N0120,2000-09-01,False,2024-03-26 17:24:13,Compliant
GR0000000102,673528321,EPE,Financial Services,M,Theoria Logos EPE,Kilkis,N0230,2017-10-18,False,2024-06-27 11:12:43,Somewhat Compliant
GR0000000103,882893941,IKE,Automotive,S,Polis Paideia Transport IKE,Korinthos,N1030,2021-03-13,False,2024-10-22 08:23:52,Somewhat Compliant
GR0000000104,362863730,IKE,Automotive,L,Xenia Nous IKE,Chios,N1130,2016-12-06,False,2024-07-05 08:19:57,Compliant
GR0000000105,275452091,AT,Healthcare,M,Koinonia Aegean Mythos,Argolida,N1010,2004-05-20,False,2024-06-06 16:52:55,Compliant
GR0000000106,596348124,AE,Agriculture and Food Production,S,Gaia Techne AE,Imathia,N0210,1998-08-25,False,2024-03-04 15:41:29,Compliant
GR0000000107,507437181,IKE,Automotive,L,Pathos Technologies Components IKE,Zakynthos,N0610,2016-02-10,True,2024-07-30 14:22:22,Compliant
GR0000000108,389854268,AE,Tourism and Hospitality,M,Hotel Haven AE,Chios,N1130,2024-10-04,False,2024-10-04 14:33:48,Compliant
GR0000000109,787194506,IKE,Technology and Innovation,L,Xenia Pathos Basileus IKE,Aitoloakarnania,N0710,2022-07-31,True,2024-06-20 09:59:11,Compliant
GR0000000110,838908273,AT,Financial Services,S,Planner Agora,Ilia,N0730,1997-11-27,False,2024-08-22 14:23:11,Compliant
GR0000000111,698020238,AE,Manufacturing,L,Paideia Creator AE,Chalkidiki,N0270,2002-07-05,True,2024-10-10 17:10:34,Compliant
GR0000000112,335809993,EPE,Logistics and Transportation,M,Supply Delivery Courier EPE,Athens,N0910,2017-10-24,False,2024-08-11 14:18:54,Somewhat Compliant
GR0000000113,835098955,IKE,Tourism and Hospitality,M,Philia Retreat IKE,Pieria,N0250,2012-05-28,False,2024-12-03 14:40:18,Compliant
GR0000000114,448195935,AT,Energy,S,Mediterranean Ethos Kosmos,Larisa,N0520,2023-12-07,False,2024-12-25 17:59:57,Compliant
GR0000000115,924970419,AT,Automotive,M,Nomos Mythos,Pieria,N0250,2017-11-02,False,2024-02-20 09:51:53,Compliant
GR0000000116,933223566,IKE,Tourism and Hospitality,M,Arete Expedition Retreat IKE,Athens,N0910,2011-10-14,False,2024-02-23 09:41:01,Compliant
GR0000000117,160062915,AT,Financial Services,S,Eudaimonia Secure Acropolis,Imathia,N0210,2017-05-12,False,2024-11-11 14:06:31,Non-Compliant
GR0000000118,345938494,AT,Automotive,M,Drive Parts,Fthiotida,N0840,2018-04-10,False,2024-11-15 16:06:40,Compliant
GR0000000119,982403818,AT,Technology and Innovation,S,Data Arete Archon,Chania,N1340,2015-10-28,False,2024-08-15 16:37:51,Compliant
GR0000000120,134467368,AE,Automotive,S,Aion Nomos Mobility AE,Viotia,N0810,2003-01-10,False,2024-01-17 12:54:26,Compliant
GR0000000121,964411347,AT,Manufacturing,M,Delphi Craftsmen,Achaia,N0720,2009-06-07,False,2024-04-18 11:49:29,Compliant
GR0000000122,438715135,AT,Manufacturing,S,Energeia Archon Sophia,Larisa,N0520,2011-10-08,False,2024-10-09 14:07:12,Compliant
GR0000000123,530747414,OE,Energy,S,Onoma Greek Olympian OE,Fokida,N0850,2018-07-27,False,2024-08-28 09:22:50,Compliant
GR0000000124,387484583,IKE,Automotive,M,Mediterranean Xenia Aion IKE,Evia,N0820,2016-09-04,False,2024-08-25 14:58:52,Compliant
GR0000000125,171069472,IKE,Automotive,S,Mobility Nomos Theoria IKE,Samos,N1120,2017-03-11,False,2024-11-26 14:00:23,Compliant
GR0000000126,326541099,AT,Manufacturing,M,Industrial Polis,Athens,N0910,2016-04-01,False,2024-04-24 16:18:17,Compliant
GR0000000127,709004943,AT,Energy,M,Poseidon Ecclesia,Lefkada,N0640,2007-01-13,False,2024-12-03 12:19:53,Compliant
GR0000000128,870854579,AE,Technology and Innovation,S,Advanced Athena AE,Argolida,N1010,2021-01-25,False,2024-07-31 11:00:57,Compliant
GR0000000129,437882805,AT,Energy,S,Logos Geothermal,Kavala,N0130,2012-12-25,False,2024-07-31 08:00:01,Compliant
GR0000000130,328306011,AE,Healthcare,L,Basileus Experts Mediterranean AE,Lesvos,N1110,2023-08-15,False,2024-03-19 13:53:52,Compliant
GR0000000131,803771909,AT,Healthcare,M,Curative Harmonia Professionals,Fokida,N0850,2021-03-11,False,2024-09-22 17:20:21,Compliant
GR0000000132,636045484,AE,Consumer Goods and Retail,S,Dealer Zoe AE,Lesvos,N1110,2024-02-22,False,2024-03-28 17:27:15,Compliant
GR0000000133,524806516,AT,Consumer Goods and Retail,L,Basileus Outlet,Viotia,N0810,1996-08-21,False,2024-10-11 14:12:39,Compliant
GR0000000134,790256940,AT,Financial Services,L,Portfolio Paideia,Chalkidiki,N0270,2004-04-16,True,2024-11-25 14:53:03,Compliant
GR0000000135,592688426,AT,Automotive,M,Paideia Automotive Vehicle,Kilkis,N0230,2004-11-04,True,2024-10-22 14:08:40,Compliant
GR0000000136,253407200,EPE,Financial Services,S,Banking Theoria EPE,Chania,N1340,2004-02-07,False,2024-07-18 10:25:57,Compliant
GR0000000137,384412919,AT,Technology and Innovation,S,Praxis Algorithm Ecclesia,Zakynthos,N0610,2015-04-11,False,2024-06-11 16:10:27,Somewhat Compliant
GR0000000138,249926919,AT,Tourism and Hospitality,M,Hotel Basileus Kalon,Kavala,N0130,2005-07-06,False,2024-04-28 09:45:51,Compliant
GR0000000139,364814270,AT,Logistics and Transportation,M,Line Eudaimonia Junction,Karditsa,N0510,2012-10-03,False,2024-03-05 16:07:40,Compliant
GR0000000140,899925830,OE,Energy,M,Innovations Philia Greek OE,Rethymno,N1330,2004-10-20,False,2024-10-22 14:53:48,Compliant
GR0000000141,702764446,IKE,Consumer Goods and Retail,S,Boutique Dynamis IKE,Pella,N0240,2008-09-21,False,2024-11-17 12:53:35,Compliant
GR0000000142,678722458,OE,Energy,S,Aion Xenia Hydro OE,Ioannina,N0430,2014-01-23,False,2024-03-22 13:13:05,Compliant
GR0000000143,382116655,AT,Financial Services,S,Nomos Fiscal Associates,Lesvos,N1110,2011-11-30,False,2024-02-17 08:27:00,Compliant
GR0000000144,902099969,AT,Automotive,M,Techne Oikos Mobility,Achaia,N0720,2020-08-17,False,2024-11-17 17:09:01,Compliant
GR0000000145,727694430,OE,Logistics and Transportation,S,Basileus Kalon Olympian OE,Ilia,N0730,2002-01-18,False,2024-11-12 16:58:05,Compliant
GR0000000146,560027313,IKE,Consumer Goods and Retail,S,Warehouse Xenia Delphi IKE,Heraklio,N1310,2011-10-12,True,2024-10-19 14:01:47,Non-Compliant
GR0000000147,726563708,AE,Manufacturing,S,Oikos Workshop Machinery AE,Pella,N0240,2006-06-01,False,2024-03-07 15:40:40,Somewhat Compliant
GR0000000148,528853029,EPE,Technology and Innovation,M,Systems Next EPE,Xanthi,N0140,2019-09-11,False,2024-07-02 10:15:41,Compliant
GR0000000149,488690725,AE,Agriculture and Food Production,M,Zoe Oikos Nutrition AE,Samos,N1120,1998-10-19,False,2024-04-23 12:12:34,Compliant
GR0000000150,335493870,AT,Consumer Goods and Retail,S,Logos Onoma,Serres,N0260,2001-01-08,False,2024-05-05 14:49:16,Compliant
GR0000000151,248532577,EPE,Financial Services,L,Yield Treasury Philia EPE,Kastoria,N0320,1998-10-07,True,2024-12-03 08:17:05,Compliant
GR0000000152,647099690,AE,Automotive,S,Demos Logos Motor AE,Florina,N0340,2008-03-26,False,2024-03-14 08:40:37,Compliant
GR0000000153,629908599,EPE,Consumer Goods and Retail,S,Psyche Basileus EPE,West Attica,N0940,2014-12-08,False,2024-02-22 09:29:59,Somewhat Compliant
GR0000000154,197613238,AE,Logistics and Transportation,S,Hub Storage Onoma AE,Samos,N1120,2018-04-09,False,2024-11-01 09:06:09,Compliant
GR0000000155,911514914,EPE,Agriculture and Food Production,L,Crop Pure Archon EPE,Zakynthos,N0610,2010-10-08,True,2024-05-24 12:57:11,Non-Compliant
GR0000000156,150590821,IKE,Healthcare,S,Experts Ecclesia Medical IKE,Zakynthos,N0610,2005-04-28,False,2024-02-17 09:31:54,Compliant
GR0000000157,217734861,AT,Agriculture and Food Production,S,Episteme Plantation,Larisa,N0520,2021-03-11,False,2024-07-04 11:25:06,Compliant
GR0000000158,264112119,AE,Energy,S,Techne Polis Electric AE,Imathia,N0210,1996-11-04,False,2024-09-08 08:26:04,Compliant
GR0000000159,773715057,AT,Agriculture and Food Production,S,Crop Nomos Mythos,Lasithio,N1320,2015-11-13,False,2024-09-06 09:13:43,Compliant
GR0000000160,271779360,AT,Healthcare,M,Kosmos Harmonia,Magnisia,N0530,2017-12-22,False,2024-08-02 14:56:20,Compliant
GR0000000161,950488739,AE,Manufacturing,L,Marathon Chronos Eudaimonia AE,Preveza,N0440,2022-11-10,False,2024-11-20 15:51:10,Compliant
GR0000000162,830661141,IKE,Manufacturing,L,Ecclesia Builder Pneuma IKE,Thesprotia,N0420,2010-02-01,True,2024-04-02 12:00:57,Somewhat Compliant
GR0000000163,553290810,AT,Energy,L,Olympian Athens,Argolida,N1010,2014-02-10,True,2024-04-01 17:40:38,Compliant
GR0000000164,740389325,AT,Healthcare,S,Chronos Logos Hestia,Evia,N0820,2015-03-27,False,2024-01-17 09:21:22,Compliant
GR0000000165,168212356,AT,Manufacturing,M,Machinery Fabrication Onoma,Thesprotia,N0420,2015-12-21,False,2024-09-04 17:38:34,Compliant
GR0000000166,513140753,IKE,Logistics and Transportation,S,Archon Distribution Cargo IKE,East Attica,N0930,2014-05-26,False,2024-01-03 10:33:47,Compliant
GR0000000167,509760584,AT,Manufacturing,M,Developers Dynamis,Argolida,N1010,2013-05-05,False,2024-05-10 09:12:38,Compliant
GR0000000168,739830322,AE,Logistics and Transportation,S,Carrier Praxis Basileus AE,West Attica,N0940,2011-06-26,False,2024-01-16 16:01:33,Compliant
GR0000000169,602564736,EPE,Technology and Innovation,M,Creative Mythos EPE,Heraklio,N1310,2017-04-25,False,2024-09-19 10:13:55,Compliant
GR0000000170,668132202,IKE,Technology and Innovation,S,Hermes Kairos Mythos IKE,Ioannina,N0430,2009-03-21,False,2024-07-05 09:57:13,Compliant
GR0000000171,369953851,IKE,Energy,L,Pneuma Kairos Basileus IKE,Samos,N1120,2007-03-31,True,2024-01-16 13:08:14,Compliant
GR0000000172,694021782,AT,Consumer Goods and Retail,M,Nomos Dealer Eudaimonia,Athens,N0910,2012-02-24,False,2024-02-12 10:17:17,Compliant
GR0000000173,112327652,AT,Energy,S,Physis Pathos,Argolida,N1010,1996-02-08,False,2024-09-03 11:05:22,Compliant
GR0000000174,830448745,AT,Manufacturing,S,Nous Kalon,Kastoria,N0320,2003-01-20,False,2024-12-28 16:41:18,Compliant
GR0000000175,873869166,AT,Technology and Innovation,S,Onoma Data Hestia,Karditsa,N0510,2014-10-23,False,2024-08-27 15:27:32,Compliant
GR0000000176,222998994,OE,Healthcare,M,Solutions Nomos Mythos OE,Chania,N1340,2005-06-26,False,2024-07-23 11:16:11,Compliant
GR0000000177,831980933,AT,Healthcare,M,Wellness Nomos,Preveza,N0440,2006-11-29,False,2024-04-11 12:25:06,Somewhat Compliant
GR0000000178,676567501,IKE,Logistics and Transportation,L,Movement Ecclesia Zoe IKE,Fthiotida,N0840,2023-12-12,False,2024-10-25 17:19:10,Compliant
GR0000000179,906248900,AT,Technology and Innovation,S,Doric Virtual Cloud,Evia,N0820,1998-05-27,False,2024-04-15 15:27:56,Somewhat Compliant
GR0000000180,386501362,AT,Energy,L,Natural Solar,Chania,N1340,2011-02-08,False,2024-08-16 14:38:47,Compliant
GR0000000181,925276600,AT,Agriculture and Food Production,M,Ethos Oikos Garden,Dodekanisa,N1220,1998-09-11,False,2024-05-19 13:39:06,Non-Compliant
GR0000000182,788227492,IKE,Financial Services,M,Profit Physis Xenia IKE,Larisa,N0520,2008-03-17,False,2024-11-06 14:27:12,Compliant
GR0000000183,465260635,IKE,Technology and Innovation,S,Network Ionic Xenia IKE,Lakonia,N1040,2017-07-03,False,2024-10-17 13:23:57,Compliant
GR0000000184,219778234,IKE,Automotive,M,Onoma Kairos IKE,Euritania,N0830,2017-12-31,False,2024-11-19 09:28:10,Compliant
GR0000000185,415143362,IKE,Automotive,S,Hestia Psyche Pathos IKE,Peiraias and islands,N0920,2019-07-09,False,2024-01-18 16:16:37,Compliant
GR0000000186,566825638,IKE,Logistics and Transportation,S,Energeia Gaia IKE,Thessaloniki,N0220,2023-11-14,False,2024-07-28 12:38:52,Compliant
GR0000000187,269820594,AT,Tourism and Hospitality,M,Kalon Techne Getaway,West Attica,N0940,1998-07-03,False,2024-11-26 16:22:25,Compliant
GR0000000188,587182120,AT,Technology and Innovation,L,Pixel Virtual Connected,Arta,N0410,2007-05-25,True,2024-01-16 09:11:51,Compliant
